id,username,customer_name,segment,pincode_id,last_updated_at
1,AA-10315,Alex Avila,Consumer,309,12/13/2024
2,AA-10375,Allen Armold,Consumer,55,12/13/2024
3,AA-10480,Andrew Allen,Consumer,119,12/13/2024
4,AA-10645,Anna Andreadi,Consumer,542,12/13/2024
5,AB-10015,Aaron Bergman,Consumer,392,12/13/2024
6,AB-10060,Adam Bellavance,Home Office,620,12/13/2024
7,AB-10105,Adrian Barton,Consumer,217,12/13/2024
8,AB-10150,Aimee Bixby,Consumer,398,12/13/2024
9,AB-10165,Alan Barnes,Consumer,613,12/13/2024
10,AB-10255,Alejandro Ballentine,Home Office,517,12/13/2024
11,AB-10600,Ann Blume,Corporate,500,12/13/2024
12,AC-10420,Alyssa Crouse,Corporate,423,12/13/2024
13,AC-10450,Amy Cox,Consumer,377,12/13/2024
14,AC-10615,Ann Chong,Corporate,71,12/13/2024
15,AC-10660,Anna Chung,Consumer,427,12/13/2024
16,AD-10180,Alan Dominguez,Home Office,33,12/13/2024
17,AF-10870,Art Ferguson,Consumer,439,12/13/2024
18,AF-10885,Art Foster,Consumer,225,12/13/2024
19,AG-10270,Alejandro Grove,Consumer,79,12/13/2024
20,AG-10300,Aleksandra Gannaway,Corporate,578,12/13/2024
21,AG-10330,Alex Grayson,Consumer,490,12/13/2024
22,AG-10390,Allen Goldenen,Consumer,514,12/13/2024
23,AG-10495,Andrew Gjertsen,Corporate,81,12/13/2024
24,AG-10525,Andy Gerbode,Corporate,53,12/13/2024
25,AG-10675,Anna Gayman,Consumer,144,12/13/2024
26,AG-10765,Anthony Garverick,Home Office,347,12/13/2024
27,AG-10900,Arthur Gainer,Consumer,101,12/13/2024
28,AH-10030,Aaron Hawkins,Corporate,80,12/13/2024
29,AH-10075,Adam Hart,Corporate,138,12/13/2024
30,AH-10120,Adrian Hane,Home Office,410,12/13/2024
31,AH-10195,Alan Haines,Corporate,347,12/13/2024
32,AH-10210,Alan Hwang,Consumer,620,12/13/2024
33,AH-10465,Amy Hunt,Consumer,55,12/13/2024
34,AH-10585,Angele Hood,Consumer,347,12/13/2024
35,AH-10690,Anna Häberlin,Corporate,538,12/13/2024
36,AI-10855,Arianne Irving,Consumer,102,12/13/2024
37,AJ-10780,Anthony Jacobs,Corporate,493,12/13/2024
38,AJ-10795,Anthony Johnson,Corporate,545,12/13/2024
39,AJ-10945,Ashley Jarboe,Consumer,491,12/13/2024
40,AJ-10960,Astrea Jones,Consumer,540,12/13/2024
41,AM-10360,Alice McCarthy,Corporate,516,12/13/2024
42,AM-10705,Anne McFarland,Consumer,107,12/13/2024
43,AO-10810,Anthony ODonnell,Corporate,518,12/13/2024
44,AP-10720,Anne Pryor,Home Office,53,12/13/2024
45,AP-10915,Arthur Prichep,Consumer,467,12/13/2024
46,AR-10345,Alex Russell,Corporate,5,12/13/2024
47,AR-10405,Allen Rosenblatt,Corporate,8,12/13/2024
48,AR-10510,Andrew Roberts,Consumer,395,12/13/2024
49,AR-10540,Andy Reiter,Consumer,54,12/13/2024
50,AR-10570,Anemone Ratner,Consumer,144,12/13/2024
